,byline,headline,open_date,pick_or_not,pub_date,rating,title,RT
402,STEPHEN HOLDEN,Through a Peephole: Woman on a Quest,,0,2008-05-30,R,The Unknown Woman,the_unknown_woman
403,STEPHEN HOLDEN,"Sorry, Your Body’s in My Windshield",,0,2008-05-30,R,Stuck,stuck
404,A. O. SCOTT,"Lustrous, Glittering, Monied Dysfunction",,0,2008-05-30,Not Rated,Savage Grace,savage_grace
405,MANOHLA DARGIS,The Girls Are Back in Town,2008-05-30,0,2008-05-30,R,Sex and the City,sex_and_the_city
406,JEANNETTE CATSOULIS,A Tomboy in Malaysia Is Introduced to Hormones,,1,2008-05-28,,Mukhsin,mukhsin
407,NATHAN LEE,Anarchy With a Short Attention Span,,0,2008-05-23,R,Postal,postal
408,NATHAN LEE,How to Rock in Iraq,2008-05-23,0,2008-05-23,R,Heavy Metal in Baghdad,heavy_metal_in_baghdad
409,JEANNETTE CATSOULIS,Retrofitted for Revenge,2008-05-23,0,2008-05-23,Not Rated,The Machine Girl,the_machine_girl
410,STEPHEN HOLDEN,A Hit Man in a War Zone That Could Easily Be Iraq,2008-06-13,0,2008-05-23,R,"War, Inc.",war_inc.
411,JEANNETTE CATSOULIS,Invasion of the Heart,2008-06-13,0,2008-05-23,R,The Children of Huang Shi,the_children_of_huang_shi
412,MANOHLA DARGIS,The Further Adventures of the Fedora and Whip,2008-05-22,0,2008-05-22,PG-13,Indiana Jones and the Kingdom of the Crystal Skull,indiana_jones_and_the_kingdom_of_the_crystal_skull
413,A. O. SCOTT,Tying Knots That Bind Lives Despite the Divisions of Generation and Nationality,,1,2008-05-21,Not Rated,The Edge of Heaven,the_edge_of_heaven
414,NATHAN LEE,Torn by the Contradictions of Being Gay and Muslim,,0,2008-05-21,Not Rated,Bolivia: Making Waves,bolivia_making_waves
415,MANOHLA DARGIS,"Two Friends, Two Novels, One Mailbox: Lives at the Speed of Ambition",,1,2008-05-16,R,Reprise,reprise
416,STEPHEN HOLDEN,"Another Abraham’s Story, With a Different Ending",2008-05-16,1,2008-05-16,,My Father My Lord,my_father_my_lord
417,STEPHEN HOLDEN,"When Selling a Soul, Consider the Price",2008-05-16,0,2008-05-16,,Yella,yella
418,STEPHEN HOLDEN,A Teenager’s Betrayal in Brooklyn,,0,2008-05-16,,Sangre de mi sangre,sangre_de_mi_sangre
419,NATHAN LEE,"This Is Basketball, Boys; It’s Not Rocket Science",2007-11-02,0,2008-05-16,Not Rated,Quantum Hoops,quantum_hoops
420,A. O. SCOTT,"Out of the Wardrobe, Into a War Zone",2008-05-16,0,2008-05-16,PG,The Chronicles of Narnia: Prince Caspian,the_chronicles_of_narnia_prince_caspian
421,NATHAN LEE,"In Paraguay, Time Melts in the Torpid Air",2008-05-14,1,2008-05-14,,Paraguayan Hammock,paraguayan_hammock
422,MANOHLA DARGIS,A Family That Surfs to a Beat: Its Own,2008-05-09,1,2008-05-09,R,Surfwise,surfwise
423,STEPHEN HOLDEN,"When Life Gives Lemons, Pick Up a Pool Stick",,1,2008-05-09,R,Turn the River,turn_the_river
424,STEPHEN HOLDEN,After Them the Monsoon: Two Worlds Collide in India,2008-05-23,1,2008-05-09,PG-13,Before the Rains,before_the_rains
425,JEANNETTE CATSOULIS,Youthful Energy and Religious Pain,,0,2008-05-09,,Unsettled,unsettled
426,A. O. SCOTT,"Average Teenage Girl, Assembling a Life Without a Set of Instructions",,0,2008-05-09,R,The Tracey Fragments,the_tracey_fragments
427,NATHAN LEE,Going for the Finger-Licking Gusto,,0,2008-05-09,Not Rated,Poultrygeist: Night of the Chicken Dead,poultrygeist_night_of_the_chicken_dead
428,A. O. SCOTT,A Dashing Agent in Egypt,2008-05-09,0,2008-05-09,,"OSS 117: Cairo, Nest of Spies",oss_117_cairo_nest_of_spies
429,STEPHEN HOLDEN,Aural Examination,,0,2008-05-09,,Noise,noise
430,MANOHLA DARGIS,"After Making It Out of Paris, Finding There’s No Escape",,0,2008-05-09,NC-17,Frontier(s),frontier(s)
431,NATHAN LEE,Broken Spirits on the Mend,2008-05-30,0,2008-05-09,R,The Fall,the_fall
432,LAURA KERN,A Mystery With No Resolution,,0,2008-05-09,,Bloodline,bloodline
433,JEANNETTE CATSOULIS,Finding Your Bliss? Losing Your Mind,,0,2008-05-09,R,Meet Bill,meet_bill
434,STEPHEN HOLDEN,From High School Student to Ruthless Madam,,0,2008-05-09,R,The Babysitters,the_babysitters
435,ANDY WEBSTER,A Cop in a Tailspin,,0,2008-05-09,R,Vice,vice
436,MANOHLA DARGIS,"Morning Hangover, Spouse and Jackpot",2008-05-09,0,2008-05-09,PG-13,What Happens in Vegas,what_happens_in_vegas
437,A. O. SCOTT,"Gentlemen, Start Your Hot-Hued Engines",2008-05-09,0,2008-05-09,PG,Speed Racer,speed_racer
438,LAURA KERN,A Portrait of Perseverance,,0,2008-05-09,,Refusenik,refusenik
439,JEANNETTE CATSOULIS,The Filling of an Empty Soul,,0,2008-05-09,Not Rated,The Memory Thief,the_memory_thief
440,JEANNETTE CATSOULIS,Caught Between Her Passion and Her Pension,,0,2008-05-09,,A Previous Engagement,a_previous_engagement
441,NATHAN LEE,The Sights and Sounds of Oppression,,0,2008-05-09,,Dilemma,dilemma
442,MANOHLA DARGIS,The Killing of Innocents Faces a Dry-Eyed Dissection,2008-05-07,0,2008-05-07,R,Battle for Haditha,battle_for_haditha
443,NATHAN LEE,Struck by Love in a Moody Underworld,2008-05-02,1,2008-05-02,,As Tears Go By,as_tears_go_by
444,JEANNETTE CATSOULIS,Dark Memories Abound,2008-05-09,1,2008-05-02,R,Fugitive Pieces,fugitive_pieces
445,STEPHEN HOLDEN,Confronting the Perils of Puberty Squared,2008-05-02,0,2008-05-02,Not Rated,XXY,xxy
446,MANOHLA DARGIS,Lonely Boy’s ‘First Blood’ and First Pal,2008-05-23,0,2008-05-02,PG-13,Son of Rambow,son_of_rambow
447,A. O. SCOTT,"Marilyn Monroe Returns Home to Her Husband, Charlie Chaplin",,0,2008-05-02,Not Rated,Mister Lonely,mister_lonely
448,JEANNETTE CATSOULIS,A Photographer of Pets and Perps,,0,2008-05-02,,The Favor,the_favor
449,NATHAN LEE,Diversity of Talent and Spirit,2008-05-02,0,2008-05-02,,Hollywood Chinese: The Chinese in American Film,hollywood_chinese_the_chinese_in_american_film
450,MANOHLA DARGIS,Swinging Suburbia and the Sensual City,2008-05-02,0,2008-05-02,R,Viva,viva
451,A. O. SCOTT,"Heavy Suit, Light Touches",2008-05-02,0,2008-05-02,PG-13,Iron Man,iron_man
452,STEPHEN HOLDEN,My Best Friend’s Big Fat (Shouldn’t Happen) Scottish Wedding,2008-05-02,0,2008-05-02,PG-13,Made of Honor,made_of_honor
453,MANOHLA DARGIS,"In a Chokehold, on the Mat and in Life",2008-05-09,0,2008-05-02,R,Redbelt,redbelt
454,RACHEL SALTZ,India Today: Big Visuals and Tiny Bikini,,0,2008-04-26,,Tashan,tashan
455,STEPHEN HOLDEN,"A Visit to Old China, Before It Drowns",,1,2008-04-25,,Up the Yangtze,up_the_yangtze
456,LAURA KERN,Getting to Graffiti Art’s Roots,2008-04-25,1,2008-04-25,,The Adventures of Monty the Moose: Amazing Alaska Animals,the_adventures_of_monty_the_moose_amazing_alaska_animals
457,A. O. SCOTT,"The Scenery’s Gorgeous. You Want a Plot, Too?",2008-05-23,0,2008-04-25,R,Roman De Gare,roman_de_gare
458,STEPHEN HOLDEN,"The Biological Clock Is Ticking, the Cause for Much Alarm",2008-05-09,0,2008-04-25,R,Then She Found Me,then_she_found_me
459,MANOHLA DARGIS,A Sliver of Thrills,2008-04-25,0,2008-04-25,R,Deception,deception
460,MANOHLA DARGIS,"We, the People Behind the Abuse",,0,2008-04-25,R,Standard Operating Procedure,standard_operating_procedure
461,A. O. SCOTT,"Two Buddies, Several Tokes Over the Line",2008-04-25,0,2008-04-25,R,Harold & Kumar Escape From Guantanamo Bay,harold_and_kumar_escape_from_guantanamo_bay
462,JEANNETTE CATSOULIS,An Extravagant Ruler of a Modest Kingdom,,0,2008-04-25,,Without the King,without_the_king
463,MANOHLA DARGIS,Learning on the Job About Birthing Babies,2008-04-25,0,2008-04-25,PG-13,Baby Mama,baby_mama
464,A. O. SCOTT,Beware the Road of Good Intentions,,1,2008-04-23,,Stuff & Dough,stuff_and_dough
465,STEPHEN HOLDEN,When Love of Religion Leads to Hatred of Others,2008-04-18,1,2008-04-18,,Constantine's Sword,constantines_sword
466,NEIL GENZLINGER,Life in the Japanese Mafia,2008-04-18,0,2008-04-18,,Young Yakuza,young_yakuza
467,JEANNETTE CATSOULIS,The Allure of Psychological Damage,2008-04-18,0,2008-04-18,,Four Minutes,four_minutes
468,MANOHLA DARGIS,Clues to the Killings May Be Optical Illusions,,0,2008-04-18,R,Anamorph,anamorph
469,LAURA KERN,Taking It All Off,,0,2008-04-18,R,Zombie Strippers!,zombie_strippers
470,A. O. SCOTT,"Looking for a Terrorist, but Not Too Hard",,0,2008-04-18,PG-13,Where in the World is Osama bin Laden?,where_in_the_world_is_osama_bin_laden?
471,MANOHLA DARGIS,Psychopath Calling: Prepare to Die,2008-04-18,0,2008-04-18,R,88 Minutes,88_minutes
472,STEPHEN HOLDEN,"Robbed of Youth, and Saddled With Guilt",,0,2008-04-18,R,The Life Before Her Eyes,the_life_before_her_eyes
473,A. O. SCOTT,"One More Time, Everybody Is Kung Fu Fighting",2008-04-18,0,2008-04-18,PG-13,The Forbidden Kingdom,the_forbidden_kingdom
474,JEANNETTE CATSOULIS,A Deeply Spiritual Life,,0,2008-04-18,Not Rated,Glass: A Portrait of Philip in Twelve Parts,glass_a_portrait_of_philip_in_twelve_parts
475,A. O. SCOTT,"There’s Just No Getting Away From an Old Flame, Even in Hawaii",2008-04-18,0,2008-04-18,R,Forgetting Sarah Marshall,forgetting_sarah_marshall
476,MANOHLA DARGIS,Trying to Get a Glimpse Inside the Sport of Kings,2008-04-18,0,2008-04-18,PG-13,The First Saturday in May,the_first_saturday_in_may
477,JEANNETTE CATSOULIS,Resentment Over Darwin Evolves Into a Documentary,2008-04-18,0,2008-04-18,PG,Expelled: No Intelligence Allowed,expelled_no_intelligence_allowed
478,JEANNETTE CATSOULIS,"Music, Corsages and a Killer",2008-04-11,0,2008-04-12,PG-13,Prom Night,prom_night
479,A. O. SCOTT,Professor as Student of His Life and Others’,2008-05-23,1,2008-04-11,PG-13,The Visitor,the_visitor
480,JEANNETTE CATSOULIS,Freedom in Prison,,1,2008-04-11,,The Dhamma Brothers,the_dhamma_brothers
481,A. O. SCOTT,"A Disagreeable Academic, and a Tonic Named Sarah Jessica Parker",2008-04-11,1,2008-04-11,R,Smart People,smart_people
482,RACHEL SALTZ,Daily Life and Its Disruption,,0,2008-04-11,,The Take,the_take
483,STEPHEN HOLDEN,"If You Embrace the Body, the Heart Might Follow",2008-04-11,0,2008-04-11,R,Never Forever,never_forever
484,STEPHEN HOLDEN,"The Cultural Divide, in Cosmology and Life",,0,2008-04-11,,Dark Matter,dark_matter
485,LAURA KERN,Highs and Lows,,0,2008-04-11,R,Remember the Daze,remember_the_daze
486,LAURA KERN,Overcoming Time’s Tyranny,,0,2008-04-11,,Chaos Theory,chaos_theory
487,JEANNETTE CATSOULIS,Making a Splash,,0,2008-04-11,R,Bra Boys,bra_boys
488,MANOHLA DARGIS,"Bad Cops, but Some Worse Than Others",2008-04-11,0,2008-04-11,R,Street Kings,street_kings
489,JEANNETTE CATSOULIS,"With Man’s Disappearance, a Family Assesses Its Faith",2008-04-10,0,2008-04-10,,Tehilim,tehilim
490,STEPHEN HOLDEN,"Retired, Yes, but Never Too Old to Rock",2008-05-23,1,2008-04-09,PG,Young@Heart,young@heart
491,MANOHLA DARGIS,A Wounded Soldier Turns His Fire on the War,,0,2008-04-09,Not Rated,Body of War,body_of_war
492,LAURA KERN,Eyeing Pornography That Uses the Holocaust as Titillation,,0,2008-04-09,,Stalags,stalags
493,A. O. SCOTT,"Behold a Dark Horse, Bowing to Everyone",2008-04-11,0,2008-04-07,,Campaign,campaign
494,MATT ZOLLER SEITZ,Watch Out for That Malevolent Jungle Vine,2008-04-04,0,2008-04-05,R,The Ruins,the_ruins
495,STEPHEN HOLDEN,The Deals Made to Go on in a So-Called Simple Life,,1,2008-04-04,,Tuya's Marriage,tuyas_marriage
496,JEANNETTE CATSOULIS,An Unlikely Friendship,2008-04-04,1,2008-04-04,,Nana,nana
497,A. O. SCOTT,Navigating a Zigzag Course in a Sea of Relationships,,1,2008-04-04,Not Rated,Jellyfish,jellyfish
498,MANOHLA DARGIS,"Another Balloon Over Paris, With Lives Adrift Below",,1,2008-04-04,Not Rated,The Flight of the Red Balloon,the_flight_of_the_red_balloon
499,STEPHEN HOLDEN,"Only Rock ’N’ Roll, but They’re Still at It",2008-04-04,1,2008-04-04,PG-13,Shine a Light,shine_a_light
500,MANOHLA DARGIS,On the List,2008-02-22,0,2008-04-04,R,Sex and Death 101,sex_and_death_101
501,MANOHLA DARGIS,"Crossing Into the Deep End, Where Desire Is Fathomed",,0,2008-04-04,,Water Lilies,water_lilies
502,A. O. SCOTT,"On the Road, With Melancholia and a Hankering for Pie and Ice Cream",,0,2008-04-04,PG-13,My Blueberry Nights,my_blueberry_nights
503,A. O. SCOTT,"Listen Up, Boys: Break Fizzy and Fake Insouciance",2008-04-04,0,2008-04-04,PG-13,Leatherheads,leatherheads
504,JEANNETTE CATSOULIS,Missed Adventures,2008-04-04,0,2008-04-04,PG,Nim's Island,nims_island
505,MANOHLA DARGIS,"The Judge, the Director and the Vagaries of Justice",,0,2008-03-31,Not Rated,Roman Polanski: Wanted and Desired,roman_polanski_wanted_and_desired
506,A. O. SCOTT,"Up, Up and a Ways Off the Track",2008-03-28,0,2008-03-29,Not Rated,Superhero Movie,superhero_movie
507,JEANNETTE CATSOULIS,Out on the Waves,,0,2008-03-28,R,Shelter,shelter
508,STEPHEN HOLDEN,Cherchez le Sugar Daddy (et Sugar Mom),2008-04-11,0,2008-03-28,PG-13,Priceless,priceless
509,JEANNETTE CATSOULIS,An Aristocratic Look and a Powerhouse Personality,,0,2008-03-28,,Hats Off,hats_off
510,JEANNETTE CATSOULIS,Good-Natured Raunchiness,2008-03-28,0,2008-03-28,Not Rated,A Four Letter Word,a_four_letter_word
511,STEPHEN HOLDEN,Cut by a Diamond-Crusted Glass Ceiling,2008-03-28,0,2008-03-28,PG-13,Flawless,flawless
512,MATT ZOLLER SEITZ,A Run Does the Trick for a Case of Cold Feet,2008-03-28,0,2008-03-28,PG-13,"Run, Fat Boy, Run",run_fat_boy_run
513,MATT ZOLLER SEITZ,Tracking an Assassin,,0,2008-03-28,R,Chapter 27,chapter_27
514,A. O. SCOTT,"My Brother, My Rival: Those Ties That Bind and Chafe",,0,2008-03-28,R,My Brother is an Only Child,my_brother_is_an_only_child
515,JEANNETTE CATSOULIS,Celebrating Masculine Immaturity,2008-03-28,0,2008-03-28,,Backseat,backseat
516,MANOHLA DARGIS,"With Assist From Greed, Money Makes the Man",2008-03-28,0,2008-03-28,PG-13,21,21
517,A. O. SCOTT,"Back From Iraq, on a Road Going Nowhere",2008-03-28,0,2008-03-28,R,Stop-Loss,stop-loss
518,MANOHLA DARGIS,"Birth of Los Angeles Art, Assisted by Hip Midwives",,0,2008-03-28,,The Cool School,the_cool_school
519,MANOHLA DARGIS,"A Widow Roaming the Chechen Front, With Curiosity and History in Tow",,1,2008-03-26,Not Rated,Alexandra,alexandra
520,MATT ZOLLER SEITZ,Half-Brothers Mired in Full-Blown Hate,2008-03-26,0,2008-03-26,PG-13,Shotgun Stories,shotgun_stories
521,A. O. SCOTT,Serving a Buffet of Morality and Humor,2008-03-21,0,2008-03-22,PG-13,Tyler Perry’s Meet the Browns,tyler_perry’s_meet_the_browns
522,ANDY WEBSTER,A Haunting Intruder From the Darkroom,2008-03-21,0,2008-03-22,PG-13,Shutter,shutter
523,JEANNETTE CATSOULIS,Allegations Against a Government,,1,2008-03-21,,Poisoned by Polonium: The Litvinenko File,poisoned_by_polonium_the_litvinenko_file
524,MANOHLA DARGIS,"Sex, Blood and Exotica in an Anti-Thriller Thriller",,1,2008-03-21,R,Boarding Gate,boarding_gate
525,A. O. SCOTT,Escaping a Meek Old Age With an Erotic New Job,,0,2008-03-21,R,Irina Palm,irina_palm
526,MATT ZOLLER SEITZ,Working-Class Swagger,,0,2008-03-21,R,The Hammer,the_hammer
527,MANOHLA DARGIS,Poker Faces,,0,2008-03-21,R,The Grand,the_grand
528,MATT ZOLLER SEITZ,Break Time,2008-03-21,0,2008-03-21,Not Rated,Planet B-Boy,planet_b-boy
529,A. O. SCOTT,Protector With Big Shtick for 3 High School Nerds,2008-03-21,0,2008-03-21,PG-13,Drillbit Taylor,drillbit_taylor
530,JEANNETTE CATSOULIS,"Mother and Son, Divided by Border, United by Phone",2008-04-04,0,2008-03-19,PG-13,Tenichibo to Iganosuke,tenichibo_to_iganosuke
531,A. O. SCOTT,Parisians Singing From Bed to Bed,,0,2008-03-19,Not Rated,Love Songs,love_songs
532,NEIL GENZLINGER,"On Other Side of the World, Life Is Still Upside Down",2008-03-19,0,2008-03-19,,Ling Yi Ban,ling_yi_ban
533,NEIL GENZLINGER,"A Journal of Sleeplessness, Recording a Fatal Illness",,0,2008-03-19,,Fade,fade
534,MATT ZOLLER SEITZ,Confronting a Killer Epidemic That Wouldn’t Die,2008-03-14,0,2008-03-15,R,Doomsday,doomsday
535,MATT ZOLLER SEITZ,When a Satellite Makes a Scene,,1,2008-03-14,,Sputnik Mania,sputnik_mania
536,JEANNETTE CATSOULIS,Remembering a Home for Music and Activism,2008-03-14,0,2008-03-14,,Wetlands Preserved,wetlands_preserved
537,MANOHLA DARGIS,When the Ghost in the Machine Is National Socialism,,0,2008-03-14,,Heartbeat Detector,heartbeat_detector
538,A. O. SCOTT,"A Vicious Attack on Innocent People, on the Screen and in the Theater",,0,2008-03-14,R,Funny Games,funny_games
539,JEANNETTE CATSOULIS,Hong Kong Crime Stories,,0,2008-03-14,R,Flash Point,flash_point
540,JEANNETTE CATSOULIS,Spinning Conflict,,0,2008-03-14,,War Made Easy: How Presidents and Pundits Keep Spinning Us to Death,war_made_easy_how_presidents_and_pundits_keep_spinning_us_to_death
541,STEPHEN HOLDEN,On the Road to Nowhere in Down-and-Out America,,0,2008-03-14,R,Sleepwalking,sleepwalking
542,JEANNETTE CATSOULIS,Cliques and Fists,2008-03-14,0,2008-03-14,PG-13,Never Back Down,never_back_down
543,A. O. SCOTT,Saving Who-Ville Is a Big Production,2008-03-14,0,2008-03-14,G,Dr. Seuss' Horton Hears a Who!,dr._seuss_horton_hears_a_who
544,LAURA KERN,Romance and Ransom in Colombia,2008-06-03,0,2008-03-14,R,Towards Darkness,towards_darkness
545,NEIL GENZLINGER,Race and Revenge in Lives of Father and Injured Son,2008-03-14,0,2008-03-13,R,Poor Boy's Game,poor_boys_game
546,MATT ZOLLER SEITZ,That Dashboard Light Now Casts Its Glow on Nostalgia,,0,2008-03-12,,Meat Loaf: In Search of Paradise,meat_loaf_in_search_of_paradise
547,MANOHLA DARGIS,Imprisonment and Forced Servitude in Rural China,2008-03-12,0,2008-03-12,,Blind Mountain,blind_mountain
548,MANOHLA DARGIS,"On Ramps and Off, Free-Falling Through Time",,1,2008-03-07,R,Paranoid Park,paranoid_park
549,MANOHLA DARGIS,Back to When Indies Were Cut-Rate and Gritty,,1,2008-03-07,,Frownland,frownland
550,JEANNETTE CATSOULIS,Rock ’n’ Roll Camp,2008-03-07,1,2008-03-07,PG,Girls Rock!,girls_rock
551,JEANNETTE CATSOULIS,"Adventures of a Boy, His Dad and His Alien",,1,2008-03-07,PG,CJ7,cj7
552,A. O. SCOTT,Gunshots Underneath a Gray Sky,,0,2008-03-07,R,Snow Angels,snow_angels
553,STEPHEN HOLDEN,Harry and Pat and Kay and Richard in 1949,2008-03-28,0,2008-03-07,PG-13,Married Life,married_life
554,A. O. SCOTT,Love May Not Be All You Need After All,2008-03-07,0,2008-03-07,,J'entends plus la guitare,jentends_plus_la_guitare
555,JEANNETTE CATSOULIS,A Scream,2008-03-07,0,2008-03-07,G,College Road Trip,college_road_trip
556,A. O. SCOTT,Human Civilization: The Prequel,2008-03-07,0,2008-03-07,PG-13,"10,000 B.C.",10000_b.c.
557,STEPHEN HOLDEN,Can a Screwball Fable Have an Eye for Detail and a Heart for Fun? Discuss,2008-03-07,0,2008-03-07,PG-13,Miss Pettigrew Lives for a Day,miss_pettigrew_lives_for_a_day
558,MANOHLA DARGIS,Tunneling Thieves Strike a Lode of Loot (and Valuable Smut),2008-03-07,0,2008-03-07,R,The Bank Job,the_bank_job
559,JEANNETTE CATSOULIS,"Ever Upward, No Matter What",,1,2008-03-05,PG,Blindsight,blindsight
560,A. O. SCOTT,A Haunting Enigma of Violence and Chaos,,1,2008-02-29,,Jar City,jar_city
561,JEANNETTE CATSOULIS,Three Kinds of Emotional Baggage,,0,2008-02-29,R,Vivere,vivere
562,MANOHLA DARGIS,"In the Heart of Texas, a Greenbelt’s Inconvenient Truth",,0,2008-02-29,,The Unforeseen,the_unforeseen
563,STEPHEN HOLDEN,Cursed With a Face Only a Sow Could Love,2008-02-29,0,2008-02-29,PG,Penelope,penelope
564,STEPHEN HOLDEN,Fathers and Sons in Gloom Above Rio’s Sunny Beaches,,0,2008-02-29,R,City of Men,city_of_men
565,MANOHLA DARGIS,Exploitation’s Wheel Spins in London,2008-02-29,0,2008-02-29,,It's a Free World...,its_a_free_world
566,A. O. SCOTT,Semi-Animated History of an Animated Time,,0,2008-02-29,R,Chicago 10,chicago_10
567,JEANNETTE CATSOULIS,Brooding on the Bayou,2008-02-29,0,2008-02-29,R,Little Chenier,little_chenier
568,MATT ZOLLER SEITZ,Open Country for Women of a Certain Age,,0,2008-02-29,PG,Bonneville,bonneville
569,MATT ZOLLER SEITZ,From Ground Zero to Boston,2008-02-29,0,2008-02-29,,Beyond Belief,beyond_belief
570,MATT ZOLLER SEITZ,A Goofball’s Quest: Slam Dunk for Survival,2008-02-29,0,2008-02-29,R,Semi-Pro,semi-pro
571,MANOHLA DARGIS,Rival Sisters Duke It Out for the Passion of a King,2008-02-29,0,2008-02-29,PG-13,The Other Boleyn Girl,the_other_boleyn_girl
572,A. O. SCOTT,"Two Siblings Stuck in a Junkyard World, Struggling to Survive and Dream",2008-02-27,1,2008-02-27,Not Rated,Chop Shop,chop_shop
573,MATT ZOLLER SEITZ,"Is He Insane? No, He’s Larry",2008-02-22,0,2008-02-23,PG-13,Witless Protection,witless_protection
574,MANOHLA DARGIS,"Behind the Mask of Civility, the Battles Rage On",,1,2008-02-22,Not Rated,The Duchess of Langeais,the_duchess_of_langeais
575,MATT ZOLLER SEITZ,Triple Threat,,0,2008-02-22,R,The Signal,the_signal
576,JEANNETTE CATSOULIS,Eden Corrupted,,0,2008-02-22,PG-13,Cover,cover
577,A. O. SCOTT,"The Cost of Collusion, Paid in Phony Currency",2008-04-18,0,2008-02-22,R,The Counterfeiters,the_counterfeiters
578,STEPHEN HOLDEN,High School’s the Same; the Drugs Have Changed,2008-02-22,0,2008-02-22,R,Charlie Bartlett,charlie_bartlett
579,MANOHLA DARGIS,"One Assassination Attempt, a Multitude of Perspectives",2008-02-22,0,2008-02-22,PG-13,Vantage Point,vantage_point
580,RACHEL SALTZ,A Muslim and a Hindu. Let’s Dance.,2008-02-15,0,2008-02-16,,The High School Experience,the_high_school_experience
581,A. O. SCOTT,"A Brazilian Boy, Alone in the Tumult of 1970",,0,2008-02-15,PG,The Year My Parents Went on Vacation,the_year_my_parents_went_on_vacation
582,MANOHLA DARGIS,Filmmakers Who Become Their Own Zombie Movie,2008-02-22,0,2008-02-15,R,George A. Romero's Diary of the Dead,george_a._romeros_diary_of_the_dead
583,STEPHEN HOLDEN,No Mickey Mouse Stuff,2008-02-15,0,2008-02-15,,The 2008 Academy Award Nominated Short Films,the_2008_academy_award_nominated_short_films
584,MATT ZOLLER SEITZ,"Love, Sex, Belly Dancing and Religious Differences",,0,2008-02-15,R,David & Layla,david_and_layla
585,MATT ZOLLER SEITZ,"Social Equality Comes With a Beat, Again",2008-02-14,0,2008-02-14,PG-13,Step Up 2 The Streets,step_up_2_the_streets
586,A. O. SCOTT,A House Divided by Old Magic and New Residents,2008-02-14,0,2008-02-14,PG,The Spiderwick Chronicles,the_spiderwick_chronicles
587,A. O. SCOTT,How I Met Your Mother: A History Lesson in Love,2008-02-14,0,2008-02-14,PG-13,"Definitely, Maybe",definitely_maybe
588,MANOHLA DARGIS,Time-Space Continuum? No Big Deal. And the Swag...,2008-02-14,0,2008-02-14,PG-13,Jumper,jumper
589,STEPHEN HOLDEN,"Innocence Lost, on a Battlefield Somewhere in Africa",2008-02-13,0,2008-02-13,,Ezra,ezra
590,MATT ZOLLER SEITZ,Family Legends,,1,2008-02-08,,Bab'Aziz: The Prince Who Contemplated His Soul,babaziz_the_prince_who_contemplated_his_soul
591,MATT ZOLLER SEITZ,Healing Cultural Wounds,,0,2008-02-08,,A Walk to Beautiful,a_walk_to_beautiful
592,STEPHEN HOLDEN,Sharpshooters of Comedy Hit the Road (Duck!),2008-02-08,0,2008-02-08,R,Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights--Hollywood to the Heartland,vince_vaughns_wild_west_comedy_show_30_days_and_30_nights--hollywood_to_the_heartland
593,STEPHEN HOLDEN,Stolen Laughs,,0,2008-02-08,,How to Rob a Bank,how_to_rob_a_bank
594,MANOHLA DARGIS,In a Red Hood and Running From the Wolves of London,,0,2008-02-08,R,London To Brighton,london_to_brighton
595,MATT ZOLLER SEITZ,Southern Discomfort for a Hollywood Talk-Show Host,2008-02-08,0,2008-02-08,PG-13,Welcome Home Roscoe Jenkins,welcome_home_roscoe_jenkins
596,JEANNETTE CATSOULIS,"What You See, What You Get",,0,2008-02-08,PG-13,The Hottie and the Nottie,the_hottie_and_the_nottie
597,A. O. SCOTT,"Tropical Pursuit of Love, Coins and No Tan Lines",2008-02-08,0,2008-02-08,PG-13,Fool's Gold,fools_gold
598,MANOHLA DARGIS,Hit Men on Holiday Get All Medieval,2008-02-29,0,2008-02-08,R,In Bruges,in_bruges
599,MATT ZOLLER SEITZ,"Attention, Slackers: It’s a Jungle Out There",2008-02-01,0,2008-02-02,R,Strange Wilderness,strange_wilderness
600,JEANNETTE CATSOULIS,It’s Enough to Make Anyone Blink,2008-02-01,0,2008-02-02,PG-13,The Eye,the_eye
601,STEPHEN HOLDEN,"Mehdi and Sarah and Adrien and Manu, Coupling Under a Cloud",,1,2008-02-01,,The Witnesses,the_witnesses
602,JEANNETTE CATSOULIS,An Obsessive Love of Prayer,2008-02-01,1,2008-02-01,Not Rated,Praying With Lior,praying_with_lior
603,MATT ZOLLER SEITZ,Spreading Joy With a Mobile Disco,,0,2008-02-01,,"Build a Ship, Sail to Sadness",build_a_ship_sail_to_sadness
604,A. O. SCOTT,"A Haircut, With an Affair and Highlights of Support",,0,2008-02-01,PG,Caramel,caramel
605,STEPHEN HOLDEN,Digging for Truth in a Life That’s Built Upon a Lie,2008-02-01,0,2008-02-01,Not Rated,Live and Become,live_and_become
606,ANDY WEBSTER,Pop in 3-D,2008-02-01,0,2008-02-01,G,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,hannah_montana_and_miley_cyrus_best_of_both_worlds_concert
607,A. O. SCOTT,"A Guy, His Psychic and a Jealous Ghost",2008-02-01,0,2008-02-01,PG-13,Over Her Dead Body,over_her_dead_body
608,MANOHLA DARGIS,It All Comes Down to (or Looks Up to) Bach,,1,2008-01-30,,The Silence Before Bach,the_silence_before_bach
609,JEANNETTE CATSOULIS,Doing Battle on the Field of Parody,2008-01-25,0,2008-01-26,PG-13,Meet the Spartans,meet_the_spartans
