,Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related ,Results Related ,Intercept%,counts,geocode,lat,lng,freq
1992,SOUTH CAROLINA,2016-75256,SEYMOUR,BLANCO,NARCOTICS,WC,D,2016-10-28,30,0,30,INSTALLED AND USED,30,0,0,0,0,50502,4220,0,0,0,0,0,0,,,,,"{'lat': 33.836081, 'lng': -81.1637245}",33.836081,-81.1637245,31
2023,TENNESSEE EASTERN,2017-77479,REEVES,HULSER,DRUGS - ILLEGAL,"TX,WC",D,2017-12-15,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 35.9618264, 'lng': -83.91711959999999}",35.9618264,-83.91711959999998,5
2028,TENNESSEE  MIDDLE,2017-75284,CRENSHAW,SWARTZ,NARCOTICS,TX,D,2017-11-17,30,0,30,INSTALLED AND USED,13,27,16,350,144,93963,8104,0,0,0,0,0,0,,,41.14,,"{'lat': 35.8486105, 'lng': -86.3648813}",35.8486105,-86.3648813,16
2044,TENNESSEE WESTERN,2015-77856,TODD,OBRIEN,RACKETEERING,WC,D,2014-12-30,30,2,90,INSTALLED AND USED,90,8,25,714,714,85352,1477,51,0,0,0,0,34,,,100.0,,"{'lat': 35.6144838, 'lng': -88.81386409999999}",35.6144838,-88.81386409999998,35
2079,TEXAS EASTERN,2013-75320,CRONE,O'BRIEN,NARCOTICS,WC,D,2013-03-26,30,0,30,INSTALLED AND USED,30,0,0,0,0,38860,1600,0,0,0,0,0,0,,,,,"{'lat': 37.9831963, 'lng': -88.31523709999999}",37.983196299999996,-88.31523709999998,44
2123,TEXAS NORTHERN,2013-75326,SOLIS,BITKOWER,NARCOTICS,WC,D,2013-11-07,30,0,30,INSTALLED AND USED,29,138,56,4000,505,24231,1824,9,0,0,0,0,8,,,12.62,,"{'lat': 31.8984817, 'lng': -102.3154177}",31.898481699999998,-102.3154177,12
2135,TEXAS SOUTHERN,2012-75330,MILLER,BLANCO,NARCOTICS,WC,D,2012-10-26,30,0,30,INSTALLED AND USED,28,0,0,0,0,36702,1926,0,0,0,0,0,0,,,,,"{'lat': 29.7217625, 'lng': -95.3606121}",29.7217625,-95.3606121,66
2201,TEXAS WESTERN,2013-75368,RODRIGUEZ,BLANCO,NARCOTICS,WC,D,2013-07-12,30,1,60,INSTALLED AND USED,59,0,0,0,0,49546,1250,0,0,0,0,0,0,,,,,"{'lat': 38.5938133, 'lng': -121.4011813}",38.5938133,-121.4011813,46
2247,UTAH,2012-75374,STEWART,BURETTA,NARCOTICS,WC,D,2012-09-19,30,0,30,INSTALLED AND USED,29,0,0,0,0,20810,650,0,0,0,0,0,0,,,,,"{'lat': 39.3209801, 'lng': -111.0937311}",39.32098010000001,-111.0937311,29
2276,VERMONT,2015-75386,REISS,BLANCO,NARCOTICS,WC,D,2014-12-16,30,0,30,INSTALLED AND USED,30,83,61,2495,2401,27343,625,0,0,0,0,0,0,,,96.23,,"{'lat': 44.5588028, 'lng': -72.57784149999999}",44.5588028,-72.57784149999998,12
2288,VIRGINIA EASTERN,2014-75400,LEE,O'BRIEN,NARCOTICS,TX,D,2014-11-30,30,0,30,INSTALLED AND USED,29,0,0,0,0,37031,1013,0,0,0,0,0,0,,,,,"{'lat': 36.860402, 'lng': -76.3036051}",36.860402,-76.3036051,17
2305,VIRGIN ISLANDS,2013-75390,GOMEZ,O'BRIEN,NARCOTICS,WC,D,2013-03-28,30,1,60,INSTALLED AND USED,59,0,0,0,0,76278,3000,0,0,0,0,0,0,,,,,"{'lat': 18.335765, 'lng': -64.896335}",18.335765,-64.896335,2
2307,WASHINGTON  WESTERN,2016-75389,LEIGHTON,DOWNING,NARCOTICS,WC,D,2016-06-16,30,0,30,INSTALLED AND USED,30,67,15,2000,1900,24781,1600,29,0,0,1,0,29,,,95.0,,"{'lat': 34.040085, 'lng': -118.309143}",34.040085,-118.30914299999999,20
2327,WEST VIRGINIA NORTHERN,2017-72011,GROH,KENNETH BLANCO (INITIAL) AND RAYMOND HUSLER (EXTENSION),CONSPIRACY,"TX,WC",D,2017-10-31,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 40.0633199, 'lng': -80.7213772}",40.063319899999996,-80.7213772,17
2344,WEST VIRGINIA SOUTHERN,2018-71713,BERGER,MATTHEW MINER,DRUGS - ILLEGAL,"TX,WC",D,2018-05-18,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 37.6754288, 'lng': -82.2931906}",37.67542879999999,-82.2931906,6
2350,WISCONSIN  EASTERN,2017-75399,ADELMAN,MCFADDEN,NARCOTICS,WC,D,2017-09-12,30,0,30,INSTALLED AND USED,30,57,50,1721,1095,42203,650,4,0,0,0,0,0,,,63.63,,"{'lat': 44.5122831, 'lng': -88.0135505}",44.5122831,-88.0135505,3
2353,WYOMING,2018-75405,FREUDENTHAL,DOWNING,NARCOTICS,WC,D,2017-12-18,30,0,30,INSTALLED AND USED,30,445,80,13359,3894,38860,1600,0,0,0,0,0,0,,,29.15,,"{'lat': 43.0759678, 'lng': -107.2902839}",43.075967799999994,-107.29028390000002,2
