"Standard Report - Exports"
"Current date: 07/13/2019 5:29 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","Kenya","2019 through May","Los Angeles, CA","3,090"
"3915 Waste, Parings And Scrap, Of Plastics","Kenya","2019 through May","New York City, NY","7,470"
"3915 Waste, Parings And Scrap, Of Plastics","Kenya","January 2019","All Districts","3,090"
"3915 Waste, Parings And Scrap, Of Plastics","Kenya","January 2019","Los Angeles, CA","3,090"
"3915 Waste, Parings And Scrap, Of Plastics","Kenya","May 2019","All Districts","7,470"
"3915 Waste, Parings And Scrap, Of Plastics","Kenya","May 2019","New York City, NY","7,470"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","2019 through May","All Districts","365,141"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","2019 through May","Houston-Galveston, TX","225,601"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","2019 through May","New York City, NY","14,100"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","January 2019","All Districts","45,700"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","January 2019","Houston-Galveston, TX","31,600"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","January 2019","New York City, NY","14,100"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","February 2019","All Districts","33,756"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","February 2019","Houston-Galveston, TX","33,756"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","March 2019","All Districts","69,300"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","March 2019","Houston-Galveston, TX","69,300"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","April 2019","All Districts","51,500"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","April 2019","Houston-Galveston, TX","45,000"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","May 2019","All Districts","164,885"
"3915 Waste, Parings And Scrap, Of Plastics","Morocco","May 2019","Houston-Galveston, TX","45,945"
"3915 Waste, Parings And Scrap, Of Plastics","Mozambique","2019 through May","All Districts","16,893"
"3915 Waste, Parings And Scrap, Of Plastics","Mozambique","2019 through May","New York City, NY","3,837"
"3915 Waste, Parings And Scrap, Of Plastics","Mozambique","2019 through May","Seattle, WA","13,056"
"3915 Waste, Parings And Scrap, Of Plastics","Mozambique","May 2019","All Districts","16,893"
"3915 Waste, Parings And Scrap, Of Plastics","Mozambique","May 2019","New York City, NY","3,837"
"3915 Waste, Parings And Scrap, Of Plastics","Mozambique","May 2019","Seattle, WA","13,056"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","2019 through May","All Districts","199,887"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","2019 through May","Charleston, SC","32,525"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","2019 through May","New York City, NY","57,136"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","2019 through May","Norfolk, VA","93,116"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","2019 through May","Savannah, GA","17,110"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","January 2019","All Districts","11,000"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","January 2019","Norfolk, VA","11,000"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","April 2019","All Districts","101,293"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","April 2019","Charleston, SC","32,525"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","April 2019","New York City, NY","33,999"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","April 2019","Norfolk, VA","28,769"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","April 2019","Savannah, GA","6,000"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","May 2019","All Districts","87,594"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","May 2019","New York City, NY","23,137"
"3915 Waste, Parings And Scrap, Of Plastics","Nigeria","May 2019","Norfolk, VA","53,347"
